,Country,Year,Energy Source,Renewable,Generation_TWh,Emissions_Mt,gCO2_per_kWh
25028,Mongolia,2007,Oil,False,0.16,0.11,687.5
25029,Mongolia,2007,Nuclear,False,0.0,0.0,
25030,Mongolia,2007,Gas,False,0.0,0.0,
25031,Montenegro,2007,Gas,False,0.0,0.0,
25032,Montenegro,2007,Solar,True,0.0,0.0,
25033,Montenegro,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25034,Montenegro,2007,Bioenergy,True,0.0,0.0,
25035,Montenegro,2007,Hydro,True,1.28,0.03,23.4
25036,Montenegro,2007,Nuclear,False,0.0,0.0,
25037,Montenegro,2007,Oil,False,0.0,0.0,
25038,Montenegro,2007,Coal,False,0.86,0.87,1011.6
25039,Morocco,2007,Coal,False,12.04,10.33,858.0
25040,Morocco,2007,Bioenergy,True,0.0,0.0,
25041,Morocco,2007,Wind,True,0.28,0.0,0.0
25042,Morocco,2007,Solar,True,0.0,0.0,
25043,Morocco,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25044,Morocco,2007,Oil,False,3.31,2.18,658.6
25045,Morocco,2007,Nuclear,False,0.0,0.0,
25046,Morocco,2007,Hydro,True,1.33,0.03,22.6
25047,Morocco,2007,Gas,False,2.73,1.39,509.2
25048,Mozambique,2007,Solar,True,0.0,0.0,
25049,Mozambique,2007,Hydro,True,15.9,0.38,23.9
25050,Mozambique,2007,Nuclear,False,0.0,0.0,
25051,Mozambique,2007,Oil,False,0.0,0.0,
25052,Mozambique,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25053,Mozambique,2007,Wind,True,0.0,0.0,
25054,Mozambique,2007,Bioenergy,True,0.0,0.0,
25055,Mozambique,2007,Gas,False,0.01,0.01,1000.0
25056,Mozambique,2007,Coal,False,0.0,0.0,
25057,Myanmar,2007,Solar,True,0.0,0.0,
25058,Myanmar,2007,Wind,True,0.0,0.0,
25059,Myanmar,2007,Oil,False,0.03,0.02,666.7
25060,Myanmar,2007,Coal,False,0.86,0.74,860.5
25061,Myanmar,2007,Gas,False,1.89,1.79,947.1
25062,Myanmar,2007,Nuclear,False,0.0,0.0,
25063,Myanmar,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25064,Myanmar,2007,Bioenergy,True,0.0,0.0,
25065,Myanmar,2007,Hydro,True,3.62,0.09,24.9
25066,Namibia,2007,Oil,False,0.0,0.0,
25067,Namibia,2007,Nuclear,False,0.0,0.0,
25068,Namibia,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25069,Namibia,2007,Hydro,True,1.54,0.04,26.0
25070,Namibia,2007,Gas,False,0.0,0.0,
25071,Namibia,2007,Coal,False,0.03,0.03,1000.0
25072,Namibia,2007,Bioenergy,True,0.0,0.0,
25073,Namibia,2007,Wind,True,0.0,0.0,
25074,Namibia,2007,Solar,True,0.0,0.0,
25075,Nauru,2007,Wind,True,0.0,0.0,
25076,Nauru,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25077,Nauru,2007,Oil,False,0.02,0.01,500.0
25078,Nauru,2007,Nuclear,False,0.0,0.0,
25079,Nauru,2007,Hydro,True,0.0,0.0,
25080,Nauru,2007,Gas,False,0.0,0.0,
25081,Nauru,2007,Coal,False,0.0,0.0,
25082,Nauru,2007,Bioenergy,True,0.0,0.0,
25083,Nauru,2007,Solar,True,0.0,0.0,
25084,Nepal,2007,Solar,True,0.0,0.0,
25085,Nepal,2007,Wind,True,0.0,0.0,
25086,Nepal,2007,Oil,False,0.01,0.01,1000.0
25087,Nepal,2007,Nuclear,False,0.0,0.0,
25088,Nepal,2007,Hydro,True,2.76,0.07,25.4
25089,Nepal,2007,Gas,False,0.0,0.0,
25090,Nepal,2007,Coal,False,0.0,0.0,
25091,Nepal,2007,Bioenergy,True,0.0,0.0,
25092,Nepal,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25093,Netherlands,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25094,Netherlands,2007,Wind,True,3.44,0.04,11.6
25095,Netherlands,2007,Solar,True,0.04,0.0,0.0
25096,Netherlands,2007,Oil,False,5.96,3.92,657.7
25097,Netherlands,2007,Nuclear,False,4.2,0.02,4.8
25098,Netherlands,2007,Hydro,True,0.11,0.0,0.0
25099,Netherlands,2007,Gas,False,61.01,24.54,402.2
25100,Netherlands,2007,Bioenergy,True,4.0,0.86,215.0
25101,Netherlands,2007,Coal,False,24.92,23.66,949.4
25102,New Caledonia,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25103,New Caledonia,2007,Oil,False,1.33,0.88,661.7
25104,New Caledonia,2007,Nuclear,False,0.0,0.0,
25105,New Caledonia,2007,Hydro,True,0.39,0.01,25.6
25106,New Caledonia,2007,Gas,False,0.0,0.0,
25107,New Caledonia,2007,Coal,False,0.17,0.16,941.2
25108,New Caledonia,2007,Bioenergy,True,0.0,0.0,
25109,New Caledonia,2007,Wind,True,0.04,0.0,0.0
25110,New Caledonia,2007,Solar,True,0.0,0.0,
25111,New Zealand,2007,Wind,True,0.92,0.01,10.9
25112,New Zealand,2007,Solar,True,0.0,0.0,
25113,New Zealand,2007,Oil,False,0.61,0.4,655.7
25114,New Zealand,2007,Coal,False,2.55,2.26,886.3
25115,New Zealand,2007,Other renewables excluding bioenergy,True,3.35,0.13,38.8
25116,New Zealand,2007,Bioenergy,True,0.74,0.16,216.2
25117,New Zealand,2007,Gas,False,11.81,6.36,538.5
25118,New Zealand,2007,Hydro,True,23.4,0.56,23.9
25119,New Zealand,2007,Nuclear,False,0.0,0.0,
25120,Nicaragua,2007,Wind,True,0.0,0.0,
25121,Nicaragua,2007,Nuclear,False,0.0,0.0,
25122,Nicaragua,2007,Oil,False,2.28,1.5,657.9
25123,Nicaragua,2007,Other renewables excluding bioenergy,True,0.24,0.01,41.7
25124,Nicaragua,2007,Solar,True,0.0,0.0,
25125,Nicaragua,2007,Bioenergy,True,0.38,0.08,210.5
25126,Nicaragua,2007,Coal,False,0.0,0.0,
25127,Nicaragua,2007,Gas,False,0.0,0.0,
25128,Nicaragua,2007,Hydro,True,0.3,0.01,33.3
25129,Nigeria,2007,Oil,False,0.0,0.0,
25130,Nigeria,2007,Coal,False,0.0,0.0,
25131,Nigeria,2007,Gas,False,16.75,10.93,652.5
25132,Nigeria,2007,Hydro,True,6.23,0.15,24.1
25133,Nigeria,2007,Nuclear,False,0.0,0.0,
25134,Nigeria,2007,Bioenergy,True,0.01,0.0,0.0
25135,Nigeria,2007,Wind,True,0.0,0.0,
25136,Nigeria,2007,Solar,True,0.0,0.0,
25137,Nigeria,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25138,North America,2007,Hydro,True,608.43,14.51,23.8
25139,North America,2007,Nuclear,False,899.25,4.8,5.3
25140,North America,2007,Oil,False,87.58,60.79,694.1
25141,North America,2007,Other renewables excluding bioenergy,True,16.7,0.63,37.7
25142,North America,2007,Solar,True,0.64,0.03,46.9
25143,North America,2007,Wind,True,37.46,0.32,8.5
25144,North America,2007,Gas,False,939.6,512.78,545.7
25145,North America,2007,Coal,False,2122.93,2015.21,949.3
25146,North America,2007,Bioenergy,True,64.53,14.72,228.1
25147,North Macedonia,2007,Nuclear,False,0.0,0.0,
25148,North Macedonia,2007,Hydro,True,1.01,0.02,19.8
25149,North Macedonia,2007,Gas,False,0.0,0.0,
25150,North Macedonia,2007,Coal,False,5.01,5.09,1016.0
25151,North Macedonia,2007,Bioenergy,True,0.0,0.0,
25152,North Macedonia,2007,Solar,True,0.0,0.0,
25153,North Macedonia,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25154,North Macedonia,2007,Oil,False,0.48,0.32,666.7
25155,Norway,2007,Nuclear,False,0.0,0.0,
25156,Norway,2007,Solar,True,0.0,0.0,
25157,Norway,2007,Wind,True,0.89,0.01,11.2
25158,Norway,2007,Oil,False,0.37,0.24,648.6
25159,Norway,2007,Hydro,True,133.66,3.18,23.8
25160,Norway,2007,Gas,False,0.76,0.34,447.4
25161,Norway,2007,Coal,False,0.04,0.04,1000.0
25162,Norway,2007,Bioenergy,True,0.39,0.08,205.1
25163,Norway,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25164,Oman,2007,Coal,False,0.0,0.0,
25165,Oman,2007,Bioenergy,True,0.0,0.0,
25166,Oman,2007,Gas,False,13.92,7.86,564.7
25167,Oman,2007,Hydro,True,0.0,0.0,
25168,Oman,2007,Nuclear,False,0.0,0.0,
25169,Oman,2007,Oil,False,0.25,0.16,640.0
25170,Oman,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25171,Oman,2007,Solar,True,0.0,0.0,
25172,Oman,2007,Wind,True,0.0,0.0,
25173,Pakistan,2007,Coal,False,0.14,0.13,928.6
25174,Pakistan,2007,Solar,True,0.0,0.0,
25175,Pakistan,2007,Nuclear,False,2.31,0.01,4.3
25176,Pakistan,2007,Hydro,True,28.71,0.68,23.7
25177,Pakistan,2007,Wind,True,0.0,0.0,
25178,Pakistan,2007,Gas,False,32.92,22.54,684.7
25179,Pakistan,2007,Bioenergy,True,1.25,0.27,216.0
25180,Pakistan,2007,Oil,False,30.82,20.28,658.0
25181,Pakistan,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25182,Panama,2007,Wind,True,0.0,0.0,
25183,Panama,2007,Solar,True,0.0,0.0,
25184,Panama,2007,Bioenergy,True,0.02,0.0,0.0
25185,Panama,2007,Coal,False,0.0,0.0,
25186,Panama,2007,Other renewables excluding bioenergy,True,0.0,0.0,
25187,Panama,2007,Nuclear,False,0.0,0.0,
25188,Panama,2007,Hydro,True,3.71,0.09,24.3
25189,Panama,2007,Oil,False,2.73,1.8,659.3
25190,Panama,2007,Gas,False,0.0,0.0,
25191,Papua New Guinea,2007,Gas,False,0.52,0.36,692.3
25192,Papua New Guinea,2007,Hydro,True,0.85,0.02,23.5
25193,Papua New Guinea,2007,Solar,True,0.0,0.0,
25194,Papua New Guinea,2007,Other renewables excluding bioenergy,True,0.4,0.02,50.0
25195,Papua New Guinea,2007,Oil,False,1.58,1.04,658.2
25196,Papua New Guinea,2007,Nuclear,False,0.0,0.0,
25197,Papua New Guinea,2007,Coal,False,0.0,0.0,
25198,Papua New Guinea,2007,Bioenergy,True,0.0,0.0,
25199,Papua New Guinea,2007,Wind,True,0.0,0.0,
25200,Paraguay,2007,Nuclear,False,0.0,0.0,
25201,Paraguay,2007,Solar,True,0.0,0.0,
25202,Paraguay,2007,Gas,False,0.0,0.0,
25203,Paraguay,2007,Hydro,True,53.71,1.28,23.8
25204,Paraguay,2007,Bioenergy,True,0.0,0.0,
25205,Paraguay,2007,Oil,False,0.0,0.0,
